station,year,month,day,wind_speed_mean_meters_per_second,wind_direction_heading,air_temp_degrees_celsius,barometric_pressure_mbar,depth_meters,water_temperature_degrees_celsius,specific_conductivity_millisiemens_per_centimeter,p_h_p_h,turbidity_ntu,organic_dissolved_oxygen_saturation_percent,organic_dissolved_oxygen_milligrams_per_liter,chlorophylla_rfu,phycocyanin_rfu,flourescent_dissolved_organic_matter_rfu,turbidity_c6_ntu,phycoerythrin_c6_rfu,phycocyanin_c6_rfu,chlorophylla_c6_rfu,colored_dissolved_organic_matter_c6_ppb,depth_c6_meters,water_temp_c6_degrees_celsius,wind_direction_rads,wind_speed_north_meter_sec,wind_speed_east_meter_sec,depth_c6_meter,water_temperature_c6_degrees_celsius,ph_nan,organic_dissolved_oxygen_1_milligrams_per_liter
WE02,2015,6,2,5.958242424242425,82.17818181818181,14.691818181818181,1021.5828181818182,1.0200909090909092,18.50121212121212,353.4787878787879,8.131515151515151,17.523636363636363,94.23939393939393,8.822424242424242,0.7120909090909091,-2.376,6.316636363636364,18.997878787878786,309.969696969697,69.38060606060606,675.4072727272727,599.4993939393939,1.0775757575757576,18.907575757575756,1.4693133641062082,0.7723771749574647,5.825000574270143,NA,NA,NA,NA
WE02,2015,6,3,6.099708333333333,87.4415625,15.284375,1019.74065625,1.0015416666666666,18.159375,366.16770833333334,8.0642708333333335,32.967083333333335,91.46875,8.6215625,1.32903125,-1.8723020833333333,10.50078125,34.90989583333333,519.8754166666666,156.17458333333335,1127.6129166666667,846.1108333333333,1.0652083333333333,18.585,3.0553461177717107,0.3171225495175933,5.971106297341369,NA,NA,NA,NA
WE02,2015,6,4,3.9130208333333334,86.57322916666666,17.24020833333333,1017.58453125,0.977375,18.865625,399.21979166666665,8.086145833333333,29.088020833333335,96.38645833333334,8.948958333333334,2.2283229166666665,-1.16234375,15.933427083333333,30.60375,683.6295833333334,248.715,1966.84375,1177.9033333333334,1.0602083333333334,19.309375,3.2014010873427696,0.1142916107192964,3.74040902978492,NA,NA,NA,NA
WE02,2015,6,5,3.1398172043010755,164.0576559139785,19.83752688172043,1015.6940107526882,0.9629354838709677,19.591397849462364,402.01612903225805,8.147311827956988,16.376344086021504,100.92043010752688,9.23516129032258,2.140720430107527,-1.5843763440860215,14.622903225806452,16.710860215053764,589.6795698924731,175.54795698924733,1911.9010752688173,1147.763440860215,0.9580645161290323,20.05505376344086,3.5718515961310593,-0.23637357109774643,0.7185180160138406,NA,NA,NA,NA
WE02,2015,6,6,8.390364583333334,47.4278125,15.628333333333334,1019.5337083333334,1.0239479166666667,19.395833333333332,399.634375,8.0515625,27.2428125,94.23541666666667,8.661979166666667,1.7339895833333334,-1.7535625,16.92385416666667,28.13875,604.9554166666667,165.02125,1492.6041666666667,1276,0.9595833333333333,19.8209375,1.9211220867475458,5.745132142800308,4.684884485308322,NA,NA,NA,NA
WE02,2015,6,7,6.927052083333333,163.1878125,18.298333333333332,1014.0881770833333,0.9681041666666667,19.472604166666667,423.375,7.948114583333333,29.121041666666667,89.88333333333334,8.249375,1.6358645833333334,-1.8966354166666666,26.0796875,30.216666666666665,674.7458333333333,152.51041666666666,1365.8041666666668,1743.825,0.96375,19.8965625,4.547668078073812,-4.308138118212403,0.8416485372957629,NA,NA,NA,NA
WE02,2015,6,8,7.104589473684211,227.9957894736842,19.945052631578946,1005.7604842105263,0.8811157894736842,19.794315789473686,358.0515789473684,8.040568421052631,18.121052631578948,94.28631578947369,8.600105263157895,0.6838842105263158,-2.440157894736842,10.964526315789474,18.790526315789474,345.54105263157896,60.909052631578945,619.3246315789473,865.8749473684211,0.8222105263157895,20.223473684210525,3.874704426974864,-4.136742067311175,-5.0245911837647785,NA,NA,NA,NA
WE02,2015,6,9,6.820458333333334,263.803125,17.8515625,1007.10234375,0.8951145833333334,20.186666666666667,343.66979166666664,8.07375,14.4690625,95.55729166666667,8.6490625,0.5132291666666666,-2.5496458333333334,9.406291666666666,15.0684375,287.3475,41.70125,460.61,790.5375,0.8167708333333333,20.611666666666668,3.249748525674317,-0.8485360022996261,-6.212874050528701,NA,NA,NA,NA
WE02,2015,6,10,6.9155,227.75,21.140833333333333,1007.6215416666666,0.8980416666666667,20.344583333333333,353.68125,8.097083333333334,10.438447916666666,96.834375,8.736875,0.5511041666666667,-2.53484375,10.410520833333333,10.918020833333333,232.31708333333333,41.964166666666664,510.59125,830.2208333333333,0.795625,20.668854166666666,3.878994262557397,-4.526709916335058,-4.751839523890184,NA,NA,NA,NA
WE02,2015,6,11,5.78146875,110.5678125,19.0225,1012.012125,0.94240625,20.47,346.7760416666667,8.113229166666667,9.645572916666667,97.534375,8.77875,0.6741145833333333,-2.4731666666666667,10.426302083333333,10.193645833333333,301.1358333333333,48.86291666666666,661.9333333333333,834.4166666666666,0.8639583333333334,20.89635416666667,1.146370431787263,1.3852568805288976,4.23475288987029,NA,NA,NA,NA
